Models,ACC,1-rND,NDCG,ACC,1-rND,NDCG,ACC,1-rND,NDCG,ACC,1-rND,NDCG
ADV DR $^\star$,0.06,0.88,0.35,0.06,0.91,0.89,0.34,0.96,0.5,0.05,0.92,0.86
ADV DR,0.01,0.76,0.29,0.03,0.96,0.78,0.01,0.96,0.39,0.01,0.94,0.73
ADV FFDR $^\star$,0.03,0.8,0.21,0.04,0.92,0.62,0.01,0.8,0.72,0.08,0.87,0.93
ADV FFDR,0.03,0.7,0.15,0.03,0.93,0.77,0.01,0.99,0.34,0.01,0.93,0.72
FFDR $^\star$,0.07,0.89,0.43,0.03,0.96,0.76,0.03,0.93,0.18,0.02,0.91,0.62
FFDR,0.03,0.86,0.32,0.03,0.94,0.73,0.01,0.98,0.33,0.01,0.94,0.74
DELTR $^\star$,0.04,0.73,0.15,0.04,0.95,0.65,0.05,0.81,0.09,0.0,0.88,0.99
DELTR,0.01,0.75,0.24,0.03,0.94,0.8,0.01,0.95,0.5,0.01,0.95,0.71
Clas. $^\star$,0.01,0.74,0.24,0.05,0.95,0.88,0.01,0.97,0.48,0.02,0.94,0.78
Clas.,0.02,0.75,0.27,0.02,0.97,0.95,0.01,0.97,0.44,0.01,0.94,0.86
